word,chinese_learner_error,error_type,correction,ai_recognition_notes,evidence_tag
download,diphthong monophthongization at two sites (Part IV Ch.5 Mistake 2),vowel,drill both diphthongs separately,another compound-noun-stress example,Hypothesis
browser,diphthong monophthongization; z→s devoicing risk,"vowel, consonant",drill the diphthong and medial /z/ separately,common in technology-topic content,Hypothesis
website,diphthong monophthongization; consonant cluster simplification,"vowel, consonant",drill the medial cluster and diphthong together,very high frequency across nearly all modern topics,Hypothesis
encryption,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill ""-kr-"" as a continuous sequence",moderately common in technology-topic content,Hypothesis
cybersecurity,"diphthong monophthongization; equal stress; glide-cluster risk (Part IV Ch.5 Mistake 2, Ch.2 Mistake 1)","vowel, stress, consonant",break into syllable groups; confirm stress before -ity,"sixth -ity family data point, in this lexicon's longest compound word so far",Hypothesis
malware,rhotic-vowel under-production (Part II Ch.3),vowel,drill the rhotic vowel explicitly,"another compound-noun-stress example, joining software (Batch 8)",Hypothesis
firewall,diphthong monophthongization,vowel,drill the diphthong before the full word,another compound-noun-stress example,Hypothesis
cloud,"consonant cluster simplification; diphthong monophthongization (Part IV Ch.1 Mistake 4, Ch.5 Mistake 2)","consonant, vowel","drill ""-kl-"" and the diphthong together",very common in modern technology-topic content,Hypothesis
streaming,"consonant cluster simplification; velar nasal /ŋ/ reduced to /n/, fifth data point after sibling, upbringing, boarding, onboarding",consonant,"drill ""-str-"" and isolate /ŋ/ before the full word",very common in entertainment/technology-topic content,Hypothesis
subscription,"consonant cluster simplification, dense cluster (compare prescription, Batch 10)",consonant,break the dense cluster into smaller sub-sequences,very common in entertainment/technology-topic content,Hypothesis
app,low documented risk,none,confirm the final /p/ closure against a dictionary before shadowing,extremely high frequency in modern technology-topic content,Hypothesis
notification,"diphthong monophthongization at two sites; equal stress (Part IV Ch.5 Mistake 2, Ch.2 Mistake 1)","vowel, stress",break into syllable groups; confirm stress before -tion,very common in technology-topic content,Hypothesis
anxious,"velar nasal /ŋ/ reduced to /n/, sixth data point after sibling, upbringing, boarding, onboarding, streaming; consonant cluster simplification",consonant,isolate /ŋ/ before drilling the dense cluster,very high frequency in Respond to a Situation/Essay emotional-topic content,Hypothesis
anxiety,"velar nasal /ŋ/ reduced to /n/, seventh data point; z→s devoicing risk; diphthong monophthongization","consonant, vowel","isolate /ŋ/ and /z/ separately, then the diphthong","a new stress-shift mechanism distinct from -tion/-ic: an adjective, not a verb, is the base form",Hypothesis
confident,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,drill the final cluster without an inserted vowel,very high frequency across nearly all Speaking-topic content,Hypothesis
confidence,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill the final cluster, contrasting with confident's ""-dənt""","a stress-stable pair: -ent/-ence does not shift stress, unlike -tion/-ic/-ity/-ety",Hypothesis
enthusiastic,θ→s substitution (Part IV Ch.1 Mistake 1); z→s devoicing risk; wrong-syllable stress if -ic shift not applied (Part IV Ch.2 Mistake 3),"consonant, stress",drill /θ/ and medial /z/ separately before the full word,"fifth concrete -ic family shift pair, after economy/economic, democracy/democratic, diplomat/diplomatic, athlete/athletic",Hypothesis
enthusiasm,θ→s substitution; z→s devoicing risk at two sites (Part IV Ch.1 Mistake 1),consonant,drill /θ/ and both /z/ instances separately,compare with enthusiastic for the -ic stress shift,Hypothesis
curious,"glide-cluster risk (compare regulate, simulate, calculate, interview)",consonant,"drill the /kj/ glide, then the rhotic vowel",compare with curiosity for the shift mechanism,Hypothesis
curiosity,glide-cluster risk; equal stress (Part IV Ch.2 Mistake 1),"consonant, stress",break into syllable groups; confirm stress falls before -ity,"seventh -ity family data point, after sustainability, biodiversity, connectivity, humidity, cybersecurity",Hypothesis
ambitious,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill ""-mb-"" as a continuous sequence",common in career/goal-topic Essay content,Hypothesis
ambition,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill ""-mb-"" as a continuous sequence","a second stress-stable pair, unlike most -tion words in this lexicon",Hypothesis
humble,syllable-final /l/ weakening; consonant cluster simplification (Part IV Ch.1 Mistakes 4 and 5),consonant,"drill final ""-bəl"" and the medial cluster","compare with humility — a different stem shape, same shift mechanism",Hypothesis
humility,glide-cluster risk; equal stress (Part IV Ch.2 Mistake 1),"consonant, stress","drill the /hj/ glide, then confirm stress falls before -ity","eighth -ity family data point, the last in this lexicon's initial 500-word build",Hypothesis
optimistic,"consonant cluster simplification; wrong-syllable stress if -ic shift not applied (Part IV Ch.1 Mistake 4, Ch.2 Mistake 3)","consonant, stress","drill both dense clusters, then confirm stress falls before -ic",sixth concrete -ic family shift pair in this lexicon,Hypothesis
optimism,z→s devoicing risk; consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,drill medial /z/ and the final cluster separately,compare with optimistic for the -ic stress shift,Hypothesis
resilient,z→s devoicing risk; glide-cluster risk,consonant,"drill medial /z/, the /lj/ glide, and the final cluster",common in personal-experience Essay/Respond to a Situation content,Hypothesis
resilience,z→s devoicing risk; glide-cluster risk; consonant cluster simplification,consonant,"drill medial /z/, the glide, and the final cluster","a third stress-stable -ent/-ence pair, alongside confident/confidence",Hypothesis
empathy,θ→s substitution (Part IV Ch.1 Mistake 1); consonant cluster simplification,consonant,"drill medial ""-mp-"", then /θ/",compare with empathetic for the -ic stress shift,Hypothesis
empathetic,"θ→s substitution; wrong-syllable stress if -ic shift not applied (Part IV Ch.1 Mistake 1, Ch.2 Mistake 3)","consonant, stress","drill /θ/, then confirm stress falls before -ic",seventh and final -ic family shift pair documented in this lexicon's first 500 words,Hypothesis
gratitude,"consonant cluster simplification, two sites (Part IV Ch.1 Mistake 4)",consonant,drill both consonant clusters separately,common in personal-reflection Essay/Respond to a Situation content,Hypothesis
grateful,"diphthong monophthongization; syllable-final /l/ weakening; consonant cluster simplification (Part IV Ch.5 Mistake 2, Ch.1 Mistakes 4 and 5)","vowel, consonant","drill the diphthong, then the dense final cluster",very high frequency in personal-reflection Essay/Respond to a Situation content — a natural closing word for this lexicon's final batch,Hypothesis
